"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
7,7474.61555570799,52322.3088899559,6958.03997674593,3.38705694487249,"Sic Stats (217)"
28,4386.77010584146,122829.562963561,1419.40171507695,1.30417472002207,"Sic Stats (218)"
4,3150.31895082211,12601.2758032884,3000.96915834165,3.06265050914582,"Sic Stats (219)"
8,3454.54442711723,27636.3554169378,2618.4099819268,2.0421319969525,"Sic Stats (22)"
9,8259.75121432565,74337.7609289308,10008.3828739394,3.53984806788461,"Sic Stats (220)"
3,5196.59842830053,15589.7952849016,5865.81782934219,2.08334458926605,"Sic Stats (221)"
13,5913.42212839282,76874.4876691066,1489.24839886307,1.84505547635249,"Sic Stats (222)"
3,4387.34652121813,13162.0395636544,3250.10905377022,4.92243783891703,"Sic Stats (223)"
6,12068.1462864231,72408.8777185389,9226.71208232158,3.18177788745754,"Sic Stats (224)"
4,14385.3202800774,57541.2811203097,7753.22274589774,2.52961941669053,"Sic Stats (225)"
38,2075.6795540866,78875.823055291,921.331428829613,1.7748627453023,"Sic Stats (226)"
6,8999.63409194268,53997.8045516561,14023.453753401,1.73912231850721,"Sic Stats (227)"
2,8712.3697769146,17424.7395538292,5740.72256011773,4.45116169200034,"Sic Stats (228)"
15,4459.30121578016,66889.5182367024,1402.72139807183,1.07565106358456,"Sic Stats (229)"
9,4861.58308838144,43754.2477954329,2724.04292724863,2.02264225444308,"Sic Stats (23)"
65,1665.91586365097,108284.531137313,11309.3873311239,1.75861124347291,"Sic Stats (230)"
15,5628.05157459444,84420.7736189165,1987.68824451631,2.50682733758892,"Sic Stats (231)"
4,9953.6065932771,39814.4263731084,9615.92531886304,3.79114809952141,"Sic Stats (232)"
7,9456.58437046239,66196.0905932367,11065.2796829624,4.0184648436234,"Sic Stats (233)"
1,4452.43886191788,4452.43886191788,4452.43886191788,7.33797216961687,"Sic Stats (234)"
10,8882.46772795805,88824.6772795805,3813.88909026274,1.49137532215549,"Sic Stats (235)"
1,9272.86706067549,9272.86706067549,9272.86706067549,6.24288943417111,"Sic Stats (236)"
2,19129.4735116915,38258.9470233831,33394.2152109103,6.16714365543537,"Sic Stats (237)"
37,1292.44030418544,47820.2912548614,1873.14904112062,4.68489844773868,"Sic Stats (238)"
5,3232.29443023283,16161.4721511642,3283.32240874845,2.06017890915116,"Sic Stats (239)"
11,6039.69392755653,66436.6332031218,1501.53922008139,2.68777521924638,"Sic Stats (24)"
3,11655.8308511668,34967.4925535005,6605.53771965643,2.40178578010826,"Sic Stats (240)"
16,3932.73070315184,62923.6912504294,2840.14800051512,2.67755725109938,"Sic Stats (241)"
9,937.612245884592,8438.51021296133,954.482241001781,2.30016155471357,"Sic Stats (242)"
14,1824.57843653373,25544.0981114723,5398.87191972291,3.21872428066863,"Sic Stats (243)"
28,1334.20911255996,37357.8551516789,1864.29638411409,1.51003040793677,"Sic Stats (244)"
7,16749.0352827152,117243.246979007,5549.25075425542,2.15662002697139,"Sic Stats (245)"
52,1861.70762003514,96808.7962418273,10351.9790210737,3.082254233638,"Sic Stats (246)"
44,1677.3189136465,73802.0322004461,833.485129022923,3.68717172336174,"Sic Stats (247)"
9,4602.25685077821,41420.3116570039,3671.56798087803,5.5789388311411,"Sic Stats (248)"
5,4236.55165868858,21182.7582934429,5322.47665868858,2.29110008636874,"Sic Stats (249)"
8,10650.2429084678,85201.9432677422,6696.8433112998,4.12903026287084,"Sic Stats (25)"
9,8707.70776787903,78369.3699109113,15599.2954957436,5.31653355605463,"Sic Stats (250)"
9,8430.66101198946,75875.9491079051,2091.61991498425,3.40253132233433,"Sic Stats (26)"
5,10719.2665474583,53596.3327372915,9324.19467245829,5.04068579953034,"Sic Stats (27)"
5,8553.6170886863,42768.0854434315,1875.37621954567,3.62177025371966,"Sic Stats (28)"
12,8102.32866068975,97227.9439282769,6718.64179138636,2.85448369982533,"Sic Stats (29)"
4,14530.3415856946,58121.3663427784,3668.72842651491,1.91422243715916,"Sic Stats (3)"
2,39041.8012217689,78083.6024435378,28395.2475108314,7.22219257989173,"Sic Stats (30)"
1,2933.66933752356,2933.66933752356,2933.66933752356,9.04006969582056,"Sic Stats (31)"
13,6090.4898120482,79176.3675566266,1245.80791789255,4.26691500087726,"Sic Stats (32)"
15,5583.06026481074,83745.9039721611,1117.48807242793,1.88247737308096,"Sic Stats (33)"
9,3111.03776992144,27999.3399292929,720.650712087237,1.90970979187697,"Sic Stats (34)"
10,5071.40185868391,50714.0185868391,1289.8113069261,3.88444280915959,"Sic Stats (35)"
12,4086.5070404014,49038.0844848168,1880.64413553487,1.85846539913814,"Sic Stats (36)"
9,11560.8048773705,104047.243896334,2480.96728513957,3.52259716872068,"Sic Stats (37)"
7,4839.36397843696,33875.5478490587,7005.09092458651,2.64607871587044,"Sic Stats (38)"
10,3685.28545192954,36852.8545192954,1064.84743923423,1.24839586668686,"Sic Stats (39)"
8,6011.27111939098,48090.1689551278,2338.73056152965,2.87941749741139,"Sic Stats (4)"
14,15801.1383630588,221215.937082824,6331.35647654935,2.33454559860283,"Sic Stats (40)"
5,1733.03667796817,8665.18338984087,740.691463124424,3.47415751802518,"Sic Stats (41)"
4,2533.91814124977,10135.6725649991,3310.28172767555,4.00785919481214,"Sic Stats (42)"
7,2232.17734024736,15625.2413817315,1069.41889995718,3.3732354580883,"Sic Stats (43)"
8,1730.18940706009,13841.5152564807,1865.10293550248,3.32147862666999,"Sic Stats (44)"
1,5190.22302401152,5190.22302401152,5190.22302401152,7.94941499036941,"Sic Stats (45)"
18,2478.74214686428,44617.358643557,849.44343063707,1.7825642894461,"Sic Stats (46)"
11,1889.7558390787,20787.3142298657,905.153988048871,1.58753906161421,"Sic Stats (47)"
15,4071.86722849482,61078.0084274223,1734.67478871617,1.74884730699068,"Sic Stats (48)"
14,2041.29058795397,28578.0682313556,770.942338791023,1.54551472730184,"Sic Stats (49)"
6,5574.03069500445,33444.1841700267,2944.38014161904,4.29269619579896,"Sic Stats (5)"
12,8957.00462899471,107484.055547936,852.218984463462,2.70243718340023,"Sic Stats (50)"
7,4892.15642572262,34245.0949800583,1264.06961629182,0.155921150816809,"Sic Stats (51)"
5,2579.33561966328,12896.6780983164,759.059899448438,1.83401777986673,"Sic Stats (52)"
12,11597.4488873472,139169.386648167,979.535302955961,3.83562121631617,"Sic Stats (53)"
10,2390.44378767116,23904.4378767116,776.19505720241,0.871316603830621,"Sic Stats (54)"
7,2563.07939875476,17941.5557912834,1592.95743307396,1.90930851692455,"Sic Stats (55)"
8,7266.8609832095,58134.887865676,1149.54285271633,2.76476224872505,"Sic Stats (56)"
11,9742.2227307974,107164.450038771,1446.55109993803,3.23677475034353,"Sic Stats (57)"
6,16707.6989300738,100246.193580443,12699.1714642535,5.16136470312001,"Sic Stats (58)"
13,9592.41616245731,124701.410111945,1309.75344742576,1.96112355923269,"Sic Stats (59)"
4,5959.28338184846,23837.1335273938,2095.04772511018,2.38618398552483,"Sic Stats (6)"
11,4226.93084106584,46496.2392517242,971.884809460721,1.57532750277668,"Sic Stats (60)"
10,2314.3848852421,23143.848852421,1314.44286253702,3.45379415550192,"Sic Stats (61)"
9,2649.62795454988,23846.6515909489,6889.60128896828,1.89842706490331,"Sic Stats (62)"
